Name,Matches,Runs,Bat_Average
Alan N Connolly,1(1971-1971),0,N/A
Alastair N Cook,92(2006-2014),3204,36.41
Geoffrey Cook,6(1981-1983),106,17.67
Nicholas G B Cook,3(1984-1989),0,N/A
Stephen J Cook,4(1991-1993),67,16.75
Benjamin N Cooper,6(2013-),116,29
Tom L W Cooper,23(2010-2013),976,48.8
Geoffrey A Cope,2(1977-1978),1,N/A
Dominic G Cork,32(1992-2002),180,10
Mark J Cosgrove,3(2006-2006),112,37.33
Garry J Cosier,9(1975-1979),154,30.8
Sheldon S Cottrell,10(2015-),14,7
Nathan M Coulter-Nile,23(2013-),148,13.45
Charles K Coventry,39(2003-2015),829,24.38
Norman G Cowans,23(1983-1985),13,2.6
Christopher S Cowdrey,3(1985-1985),51,25.5
Michael C Cowdrey,1(1971-1971),1,1
Royston T Crandon,1(2009-2009),5,5
John P Crawley,13(1994-1999),235,21.36
Alexander Graeme Cremer,96(2009-),744,14.59
Gary J Crocker,6(1992-1993),98,24.5
Fiqre S Crockwell,2(2009-2009),68,34
Colin E H Croft,19(1977-1981),18,9
Robert D B Croft,50(1996-2001),345,14.38
Wessel J Cronje,188(1992-2000),5565,38.65
Derek N Crookes,32(1994-2000),296,14.8
Matthew Henry Cross,43(2014-),865,22.76
Jeffrey J Crowe,75(1983-1990),1518,25.73
Martin D Crowe,143(1982-1995),4704,38.56
Cameron E Cuffy,41(1994-2002),62,4.43
Daniel J Cullen,5(2006-2006),2,N/A
Daryll J Cullinan,138(1993-2000),3860,32.99
Craig D Cumming,13(2003-2009),161,13.42
Anderson Cleophas Cummins,76(1991-2007),486,13.5
Miguel L Cummins,11(2014-),10,5
Patrick J Cummins,43(2011-),166,11.86
Kevin M Curran,11(1983-1987),287,26.09
Samuel Matthew Curran,2(2018-),17,8.5
Thomas Kevin Curran,13(2017-),71,23.67
Alex R Cusack,59(2007-2015),745,22.58
Benjamin C J Cutting,4(2013-2014),53,26.5
Keith M Dabengwa,37(2005-2010),514,19.04
Damodar Daesrath,4(2012-2013),95,31.67
Vijay Dahiya,19(2000-2001),216,16.62
Mahuru D Dai,18(2014-),453,28.31
Carl Junior Dala,2(2018-),8,8
Adam C Dale,30(1997-2000),78,19.5
Anil Dalpat,15(1984-1986),87,12.43
James W M Dalrymple,27(2006-2007),487,19.48
Mahamarakkala Kurukulasooriya Patabendige Akila Dananjaya,30(2012-),276,15.33
Wayne W Daniel,18(1978-1984),49,49
Warrick M Darling,18(1978-1982),363,21.35
Shiv S Das,4(2001-2002),39,13
Deep Dasgupta,5(2001-2001),51,17
Pubudu B Dassanayake,16(1993-1994),85,10.63
Joshua H Davey,29(2010-),471,22.43
Noel A David,4(1997-1997),9,N/A
Ramesh R David,4(2008-2010),82,27.33
Henry Davids,2(2013-2013),8,4
Alec G Davies,5(1999-1999),83,20.75
Sean G Davies,4(1996-1996),67,16.75
Steven M Davies,8(2009-2011),244,30.5
Heath Te-Ihi-O-Te-Ra Davis,11(1994-1997),13,6.5
Ian C Davis,3(1974-1977),12,6
Simon P Davis,39(1986-1988),20,5
Winston W Davis,35(1983-1988),28,14
John M Davison,32(2003-2011),799,26.63
Dawlat Ahmadzai,3(2009-2010),0,N/A
Dawlat Zadran,73(2011-),500,20.83
Jawad J Dawood,2(2009-2010),25,N/A
Alan C Dawson,19(1998-2004),69,23
Liam A Dawson,3(2016-),14,7
Ronald G De Alwis,31(1983-1988),401,21.11
Phillip A J De Freitas,103(1987-1997),690,16.05
Colin de Grandhomme,28(2012-),443,29.53
Richard P De Groen,12(1993-1994),12,2.4
Nicholas A De Groot,6(2003-2003),44,7.33
Tom N de Grooth,34(2006-2013),480,17.14
Quinton de Kock,101(2013-),4249,44.26
Con de Wet de Lange,13(2016-),123,20.5
Marchant de Lange,4(2012-2016),0,N/A
Bas de Leede,2(2018-),30,15
Timotheus B M de Leede,29(1996-2007),400,16.67
Ashantha L F De Mel,57(1982-1987),466,14.56
Samantha I De Saram,15(1999-2001),183,16.64
Ashley M de Silva,4(1986-1993),12,6
Deva L S De Silva,2(1979-1979),10,10
Dhananjaya Maduranga de Silva,28(2016-),593,26.95
Dandeniyage S De Silva,41(1975-1985),371,19.53
Ellawalakankanamage De Silva,28(1986-1992),138,9.86
Granville N De Silva,4(1983-1985),9,9
Ginigalgodage R A de Silva,6(1975-1982),9,4.5
Karunakalage S C de Silva,38(1996-2000),39,6.5
Pinnaduwage A de Silva,308(1984-2003),9284,34.9
Pinnaduwage Chaturanga de Silva,7(2014-),94,15.67
Pinnaduwage Wanidu Hasaranga de Silva,9(2017-),63,10.5
Sanjeewa K L de Silva,11(1997-1997),161,53.67
Abraham B de Villiers,228(2005-2018),9577,53.5
Petrus Stephanus De Villiers,83(1992-1997),170,8.1
Mark H Dekker,23(1992-1996),379,18.95
Joseph L Denly,9(2009-2009),268,29.78
Michael H Denness,12(1973-1975),264,29.33
Franklym A Dennis,3(1979-1979),47,15.67
Narsingh Deonarine,31(2005-2015),682,26.23
Jade W Dernbach,24(2011-2013),19,2.71
Jignesh H Desai,1(2004-2004),16,16
Parth A Desai,13(2010-2014),8,2.67
Anton P Devcich,12(2013-),195,17.73
Sunil Dhaniram,44(2006-2010),906,24.49
Rajindra Dhanraj,6(1994-1995),8,8
Pankaj Dharmani,1(1996-1996),8,8
Handunnettige Deepthi Priyantha Kumar Dharmasena,141(1994-2004),1222,22.63
Rishi Dhawan,3(2016-2016),12,12
Shikhar Dhawan,124(2010-),5178,44.64
Haninder S Dhillon,2(2006-2006),14,7
Dhiman Ghosh,14(2008-2008),126,14
Mahendra Singh Dhoni,339(2004-),10474,51.09
Michael J Di Venuto,9(1997-1997),241,26.78
Brendon J Diamanti,1(2009-2009),26,N/A
Roy L Dias,58(1979-1987),1573,31.46
Dickwella Patabendige Dilantha Niroshan Dickwella,49(2014-),1555,34.56
Wilfred P Diepeveen,1(2011-2011),6,6
Sameer S Dighe,23(2000-2001),256,23.27
Loku Hettige D Dilhara,9(2005-2013),83,9.22
Graham R Dilley,36(1979-1988),114,11.4
Merwyn V Dillon,108(1997-2005),227,7.32
Tillakaratne Mudiyanselage Dilshan,330(1999-2016),10290,39.27
Ashok B Dinda,13(2010-2013),21,4.2
Hendrik H Dippenaar,107(1999-2007),3421,42.23
George Henry Dockrell,79(2010-),473,16.89
Anthony I C Dodemaide,24(1988-1993),124,13.78
Xavier J Doherty,60(2010-2015),101,14.43
Dolar Mahmud,7(2008-2009),61,15.25
Basil L D'Oliveira,4(1971-1972),30,10
Allan A Donald,164(1991-2003),95,4.32
Brett R Dorey,4(2006-2006),2,2
Kiplin Dorriga,5(2017-),139,34.75
Dilip R Doshi,15(1980-1982),9,3
Chris R M Douglas,2(2008-2008),122,61
Mark W Douglas,6(1994-1995),55,9.17
Simon B Doull,42(1992-2000),172,12.29
Travis M Dowlin,11(2009-2010),228,25.33
Paul R Downton,28(1977-1988),242,16.13
Vasbert C Drakes,34(1995-2004),94,7.83
Rahul Dravid,344(1996-2011),10889,39.17
Christopher J Drum,5(1999-1999),9,N/A
Gordon D Drummond,30(2007-2013),240,18.46
Francois du Plessis,129(2011-),4827,45.54
Ben M Duckett,3(2016-),123,41
Kevin G Duers,6(1992-1992),7,7
Terrence Duffin,23(2006-2007),546,23.74
Peter Jeffrey Leroy Dujon,169(1981-1991),1945,23.15
Shaukat F Dukanwala,5(1996-1996),84,42
Jean-Paul Duminy,192(2004-),5016,37.16
Chamara I Dunusinghe,1(1995-1995),1,1
Hasan Durham,9(2006-2006),35,8.75
Nikhil Dutta,1(2013-2013),0,N/A
Gregory C Dyer,23(1986-1988),174,15.82
Nicholas R Dyer,5(1999-1999),3,3
Geoffrey Dymock,15(1974-1980),35,11.67
John Dyson,29(1980-1983),755,32.83
Philip S Eaglestone,1(2008-2008),4,4
Mark A Ealham,64(1996-2001),716,17.46
Dion D Ebrahim,82(2001-2005),1443,20.61
Bruce A Edgar,64(1978-1986),1814,30.75
Phillippe H Edmonds,29(1977-1987),116,10.55
Jekon Edness,11(2007-2008),252,28
John H Edrich,7(1971-1975),223,37.17
Fidel H Edwards,50(2003-2009),73,9.13
Graham N Edwards,6(1976-1981),138,23
Kirk A Edwards,16(2011-2014),331,23.64
Ross Edwards,9(1972-1975),255,36.43
Scott Andrew Edwards,2(2018-),27,13.5
Walter J Edwards,1(1975-1975),2,2
Ehsan Adil,6(2013-2015),27,9
Ehsan Khan,15(2016-),100,11.11
Ehsan Nawaz,12(2014-),30,5
