Name,Matches,Runs,Bat_Average
Rawl N Lewis,28(1997-2009),291,18.19
Liaqat Ali,3(1977-1978),7,7
Gerhardus F J Liebenberg,4(1995-1998),94,23.5
Dennis K Lillee,63(1972-1983),240,9.23
Liton Das,27(2015-),508,19.54
Dulip K Liyanage,16(1992-2001),144,16
Clive H Lloyd,87(1973-1985),1977,39.54
David Lloyd,8(1973-1980),285,40.71
Graham D Lloyd,6(1996-1998),39,9.75
Timothy A Lloyd,3(1984-1984),101,33.67
Alan C I Lock,8(1996-1996),8,8
Douglas R Lockhart,14(2006-2010),218,24.22
Augustine L Logie,158(1981-1993),2809,28.96
Kaushal S Lokuarachchi,21(2003-2007),210,14
Christopher H Lonsdale,1(2007-2007),4,4
Bernard P Loots,7(2010-2011),16,5.33
Alexander G R Loudon,1(2006-2006),0,0
Johann Louw,3(2008-2008),23,23
Jan L Louw,1(2003-2003),0,N/A
James D Love,3(1981-1981),61,20.33
Malachy B Loye,7(2007-2007),142,20.29
Steven W Lubbers,4(1996-1996),24,8
Brian W Luckhurst,3(1975-1975),15,5
Michael J Lumb,3(2014-2014),165,55
Alfred S Luseno,10(2003-2010),34,17
Monte A Lynch,3(1988-1988),8,2.67
Christopher A Lynn,4(2017-),75,18.75
Nathan Michael Lyon,17(2012-),62,20.67
Ross T Lyons,25(2006-2010),90,22.5
Stuart C G MacGill,3(2000-2000),1,1
Matthew W Machan,23(2013-2016),734,33.36
Angus J Mackay,3(2001-2001),0,N/A
John A Maclean,2(1979-1979),11,11
Kenneth H MacLeay,16(1983-1987),139,12.64
Calum Scott MacLeod,57(2008-),1853,37.82
Neil J MacRae,2(2006-2006),10,5
Sharma Madan Lal,67(1974-1987),401,19.1
Darren L Maddy,8(1998-2000),113,18.83
Trevor N Madondo,13(1998-2001),191,15.92
Ranjan Senerath Madugalle,63(1979-1988),950,18.63
Arachchige W R Madurasinghe,12(1988-1992),21,10.5
Devapurage Shehan Madushanka Kumara,1(2018-),7,7
Lahiru Dilshan Madushanka,4(2017-),14,4.67
Neville Madziva,12(2014-),62,6.89
Mafizur Rahman,4(1997-1997),53,17.67
John N Maguire,23(1983-1984),42,7
Roshan Siriwardene Mahanama,213(1986-1999),5162,29.5
Keshav A Maharaj,4(2017-),25,12.5
Mohamed Farveez Maharoof,109(2004-),1113,19.53
Mahbubul Alam,5(2009-2009),81,40.5
Mahbubur Rahman,1(1999-1999),3,3
James P Maher,26(1998-2003),438,25.76
Sajid I Mahmood,26(2004-2009),85,7.73
Mahmood Hamid,1(1995-1995),1,1
Mohammad Mahmudullah,171(2007-),3673,33.39
Ngonidzashe B Mahwire,23(2004-2006),117,10.64
Gregor I Maiden,7(2010-2011),84,21
Majid Khan,23(1973-1982),786,37.43
Devon E Malcolm,10(1990-1994),9,3
Ashok Malhotra,20(1982-1986),457,30.47
Separamadu Lasith Malinga,213(2004-),534,7.12
Gyanendra Malla,6(2018-),143,23.83
Ashley A Mallett,9(1971-1975),14,7
Michael F Malone,10(1977-1982),36,9
Maninder Singh,59(1983-1993),49,12.25
Sanjay Vijay Manjrekar,74(1988-1996),1994,33.23
Manjural Islam,34(1999-2003),53,5.89
Manjural Islam Rana,25(2003-2006),331,20.69
Ashok V Mankad,1(1974-1974),44,44
Graham A Manou,4(2009-2009),7,7
Mansoor Akhtar,41(1980-1990),593,17.44
Mansoor Amjad,1(2008-2008),5,5
Mansoor Rana,2(1990-1990),15,7.5
Manzoor Akhtar,7(1997-1998),97,24.25
Manzoor Elahi,54(1984-1995),741,22.45
Maqsood Rana,1(1990-1990),5,5
Ishwar Maraj,6(2003-2003),98,19.6
Alester Maregwede,11(2003-2005),124,12.4
Douglas A Marillier,48(2000-2003),672,18.16
Aiden Kyle Markram,16(2017-),407,25.44
Victor J Marks,34(1980-1988),285,13.57
Geoffrey Robert Marsh,117(1986-1992),4357,39.97
Mitchell R Marsh,53(2011-),1428,35.7
Rodney William Marsh,92(1971-1984),1225,20.08
Shaun Edward Marsh,63(2008-),2536,42.27
Cecil A Marshall,2(1979-1979),10,5
Hamish J H Marshall,66(2003-2007),1454,27.43
James A H Marshall,10(2005-2008),250,25
Malcolm D Marshall,136(1980-1992),955,14.92
Xavier M Marshall,24(2005-2009),375,17.86
Anthony Martin,9(2011-2011),10,10
Christopher Stewart Martin,20(2001-2008),8,1.6
Gary C Martin,5(1994-1995),31,7.75
Jacob J Martin,10(1999-2001),158,22.57
Peter J Martin,20(1995-1998),38,6.33
Damien R Martyn,208(1992-2006),5346,40.81
Timycen Maruma,17(2007-),157,9.81
Hamilton Masakadza,204(2001-),5604,28.16
Shingirai W Masakadza,16(2010-2014),170,21.25
Wellington Pedzisai Masakadza,17(2015-),53,5.89
Adrian D Mascarenhas,20(2007-2009),245,22.27
Mashrafe Bin Mortaza,205(2001-),1752,14.02
Michael J Mason,26(2003-2010),24,8
Masood Iqbal,1(1984-1984),2,2
Steve J Massiah,2(2004-2004),23,11.5
Robert A L Massie,3(1972-1972),16,N/A
Prince S Masvaure,2(2018-),40,20
Everton Matambanadzo,7(1996-1997),8,4
Angelo Davis Mathews,203(2008-),5380,42.36
Andrew W Mathieson,1(2015-2015),0,N/A
Stuart Matsikenyeri,113(2002-2015),2224,22.02
Craig R Matthews,56(1991-1997),141,10.85
Gregory Richard John Matthews,59(1984-1993),619,16.73
Everton H Mattis,2(1981-1981),86,43
Bryan M Mauricette,3(1979-1979),20,6.67
Brandon Anesu Mavuta,5(2018-),52,13
Tinotenda M K Mawoyo,7(2006-2014),58,8.29
Donovan E S Maxwell,10(2006-2007),166,27.67
Glenn James Maxwell,91(2012-),2367,32.42
Timothy Brian Alexander May,47(1987-1995),39,9.75
Matthew P Maynard,14(1994-2000),156,14.18
Mazhar Hussain,7(1994-1996),179,25.57
Mazharul Haque,1(2002-2002),3,3
Mpumelelo Mbangwa,29(1996-2002),34,4.86
Cameron McAuslan,2(2017-),35,17.5
Andrew Robert McBrine,34(2014-),241,20.08
William K McCallan,39(2006-2009),361,20.06
Neil F I McCallum,43(2006-2011),1002,27.83
Rory D McCann,8(2010-2010),44,11
Graeme J McCarter,1(2014-2014),1,N/A
Barry J McCarthy,24(2016-),82,6.83
Mitchell J McClenaghan,48(2013-2016),108,27
James Alexander McCollum,1(2019-),0,0
Richard B McCosker,14(1975-1982),320,22.86
Obed Christopher McCoy,2(2018-),0,N/A
Brendon B McCullum,260(2002-2016),6083,30.42
Nathan L McCullum,84(2009-2015),1070,20.98
Rodney J McCurdy,11(1985-1985),33,8.25
Craig J McDermott,138(1985-1996),432,7.08
Paul E McEwan,17(1980-1985),204,13.6
Neil C McGarrell,17(1998-2001),60,7.5
Peter D McGlashan,4(2009-2009),63,63
Anthony McGrath,14(2003-2004),166,16.6
Glenn D McGrath,250(1993-2007),115,3.83
Andrew J McKay,19(2010-2012),12,4
Clinton J McKay,59(2009-2014),190,9.05
Brian J McKechnie,14(1975-1981),54,13.5
Scott Stephen McKechnie,8(2017-),108,15.43
Graham D McKenzie,1(1971-1971),0,N/A
Neil D McKenzie,64(2000-2009),1688,37.51
Ryan  McLaren,54(2009-2014),485,18.65
Nixon A M McLean,45(1996-2003),314,12.08
Hamish McLeod,2(1975-1975),5,2.5
Brian M McMillan,78(1991-1998),841,23.36
Craig D McMillan,197(1997-2007),4707,28.19
Ervin B McSweeney,16(1986-1987),73,8.11
Stuart C Meaker,2(2011-2011),2,1
Mehidy Hasan Miraz,25(2017-),291,20.79
Mehmood Quaraishy,3(1975-1975),41,20.5
Vijay Mehra,6(1994-1996),92,18.4
Mehrab Hossain,18(1998-2003),449,24.94
Mehrab Hossain,18(2006-2009),276,17.25
Praful S Mehta,1(1975-1975),12,12
Mohammed A Meman,1(1987-1987),19,19
Balapuwaduge Ajantha Winslow Mendis,87(2008-2015),188,8.17
Balapuwaduge Kusal Gimhan Mendis,57(2016-),1424,26.87
Balapuwaduge Manukulasuriya Amith Jeevan Mendis,54(2010-2015),604,20.13
Louis Rohan Duleep Mendis,79(1975-1989),1527,23.49
Manimeldura C Mendis,1(1995-1995),3,N/A
Joe M Mennie,2(2016-),1,0.5
Keegan O Meth,11(2006-2012),106,13.25
Paras L Mhambrey,3(1996-1998),7,N/A
David A Miller,116(2010-),2831,38.26
Geoffrey Miller,25(1977-1984),136,8.5
Nikita O'Brien Miller,50(2008-),284,20.29
Jonathan P Millmow,5(1990-1990),0,N/A
Kyle D Mills,170(2001-2015),1047,15.63
Adam F Milne,40(2012-),168,16.8
Minhajul Abedin,27(1986-1999),453,18.88
Dean A Minors,20(2006-2007),478,26.56
Solomon Farai Mire,40(2014-),840,21
Mirwais Ashraf,46(2009-),387,14.33
Misbah-ul-Haq,162(2002-2015),5122,43.41
Amit Mishra,36(2003-),43,5.38
Tanmay Mishra,42(2006-2013),1128,34.18
Abhimanyu Mithun,5(2010-2011),51,17
Hitesh S Modi,63(1996-2006),1109,23.6
Mohammad Akram,23(1995-2000),14,7
Mohammad Amir,49(2009-),352,19.56
Mohammad Ashraful,177(2001-2013),3468,22.23
Mohammad Asif,38(2005-2010),34,3.78
Mohammad Aslam,4(1996-1996),38,9.5
Mohammad Boota,7(2018-),140,23.33
Mohammad Hafeez,208(2003-),6302,32.99
Mohammad Hussain,14(1997-1998),154,30.8
Mohammad Iqbal,5(2007-2008),54,10.8
Mohammad Irfan,60(2010-),48,4
Mohammad Ishaq,5(1994-1996),98,24.5
Mohammad Kashif,11(2006-2010),1,0.33
Mohammad Khalil,3(2005-2005),0,N/A
Mohammad Mithun Ali,15(2014-),381,34.64
Mohammad Nabi,108(2009-),2459,28.93
Mohammad Naveed,35(2014-),369,18.45
Mohammad Nawaz,14(2016-),199,22.11
Mohammad Rafique,125(1995-2007),1191,13.38
Mohammad Rizwan,27(2015-),474,27.88
Mohammad Saifuddin,10(2017-),175,29.17
Mohammad Salim,1(2003-2003),9,9
Mohammad Salman,7(2011-2011),22,11
Mohammad Sami,87(2001-2015),314,11.63
Mohammad Shahzad,77(2009-),2551,34.47
Mohammad Shahzad,6(2014-),190,31.67
Mohammad Talha,3(2014-2014),0,0
Mohammad Tauqir,11(2004-2015),95,13.57
Mohammad Wasim,25(1996-2000),543,23.61
Mohammad Yousuf,288(1998-2010),9720,41.72
Mohammad Zahid,11(1996-2002),15,7.5
Dave Mohammed,7(2006-2008),0,N/A
Jason Nazimuddin Mohammed,28(2011-),551,23.96
Mohammed Nazir,4(1980-1984),4,N/A
Mohammed Qasim,5(2017-),94,18.8
Mohammed Shami Ahmed,60(2013-),118,9.08
Mohammed Sharif,9(2001-2007),53,13.25
Mohammed Siraj,1(2019-2019),0,N/A
Debashish S Mohanty,45(1997-2001),28,5.6
Mohibullah Paak,2(2013-2013),0,N/A
Mohsin Kamal,19(1984-1989),27,9
Mohsin Khan,75(1977-1986),1877,26.81
Moin Khan,219(1990-2004),3266,23
Moin-Ul-Atiq,5(1988-1989),199,39.8
Geert-Maarten C Mol,6(2007-2008),25,12.5
Hendrik J Mol,11(2002-2008),67,8.38
Mominul Haque,28(2012-),557,22.28
Preston L Mommsen,44(2010-),1115,30.97
Dinesh Mongia,57(2001-2007),1230,27.95
Nayan R Mongia,140(1994-2000),1272,20.19
Moniruzzaman,2(2003-2003),1,0.5
Thomas Masson Moody,76(1987-1999),1211,23.29
John F Mooney,64(2006-2015),963,23.49
Paul J K  Mooney,4(2006-2007),12,12
Peter Joseph Moor,42(2014-),699,19.42
Kiran S More,94(1984-1993),563,13.09
Vani V Morea,13(2014-),313,26.08
Daniel W O Morgan,2(2006-2006),2,1
Eoin J G Morgan,217(2006-),6813,39.16
Johannes A Morkel,58(2004-2012),782,23.7
Morne Morkel,117(2007-2018),268,9.24
Christopher Henry Morris,34(2013-),394,19.7
John E Morris,8(1990-1991),167,23.86
Daniel Kyle Morrison,96(1987-1996),171,9
John F M Morrison,18(1975-1983),252,21
Morshed Ali Khan,3(1998-1998),2,N/A
Runako S Morton,56(2002-2010),1519,33.76
Mosaddeck Hossain,24(2016-),341,31
Ezra A Moseley,9(1990-1991),7,1.75
Mosharraf Hossain,5(2008-2016),26,6.5
Jeffrey K Moss,1(1979-1979),7,7
Martyn D Moxon,8(1985-1988),174,21.75
Phenyo V Mpitsang,2(1999-1999),1,N/A
Christopher Bobby Mpofu,80(2004-),46,2.3
Natsai M'shangwe,6(2011-2014),38,7.6
Jehan Mubarak,40(2002-2013),704,22.71
Mudassar Bukhari,46(2007-2014),515,17.17
Mudassar Nazar,122(1977-1989),2653,25.27
Tafadzwa V Mufambisi,6(2006-2007),55,9.17
Muhammad Usman,23(2016-),541,25.76
Mujahid Jamshed,4(1997-1997),27,13.5
Mujeeb Ur Rahman,25(2017-),40,6.67
Saradindu P Mukherjee,3(1990-1991),2,N/A
Saleem Mukuddem,20(2006-2007),331,23.64
Jacob Mulder,4(2017-),15,N/A
Pieter Willem Adriaan Mulder,8(2017-),57,14.25
Ashif A Mulla,24(2006-2009),482,20.08
Mohsin Mulla,1(2007-2007),1,1
Alan D Mullally,50(1996-2001),86,5.73
Carl T Mumba,2(2016-),3,3
Arachchige M N Munasinghe,5(1994-1996),13,4.33
Eldeniya Medagedara Dilshan Yasika Munaweera,2(2017-),15,7.5
Munir Dar,2(2008-2008),18,9
Colin Munro,51(2013-),1146,24.91
Henry G Munsey,16(2017-),381,29.31
Tawanda Mupariwa,40(2004-2016),185,8.41
Muttiah Muralitharan,350(1993-2011),674,6.81
Bryan G Murgatroyd,6(2003-2003),90,15
Brian A Murphy,31(2000-2003),72,8
David Murphy,8(2013-2013),58,11.6
David A Murray,10(1973-1981),45,9
Darrin J Murray,1(1994-1994),3,3
Deryck Lance Murray,26(1973-1980),295,24.58
Junior Randalph Murray,55(1992-1999),678,22.6
Ryan Craig Murray,5(2018-),108,27
Timothy James Murtagh,47(2012-),161,7.67
Tarisai Kenneth Musakanda,15(2016-),304,21.71
Mushfiqur Rahim,201(2006-),5371,34.43
Mushfiqur Rahman,28(2000-2004),360,16.36
Mushtaq Ahmed,144(1989-2003),399,9.5
Mushtaq Mohammad,10(1973-1978),209,34.83
Mustafizur Rahman,43(2015-),57,9.5
Philip Mustard,10(2007-2008),233,23.3
David T Mutendera,9(1999-2001),20,10
Forster Mutizwa,17(2009-2011),403,31
Tinotenda C Mutombodzi,11(2013-2015),112,12.44
Richmond Mutumbami,31(2014-),552,20.44
Blessing Muzarabani,18(2018-),16,2
Taurai Muzarabani,8(2015-),12,3
Waddington Mwayenga,3(2002-2004),1,0.5
Stephanus J Myburgh,13(2011-),294,24.5
Ganesh Mylvaganam,3(1996-1996),36,12
Nadeem Ahmed,25(2004-),67,5.58
Nadeem Ghauri,6(1990-1990),14,14
Nadeem Khan,2(1993-1995),2,2
Naeem Ahmed,1(1978-1978),0,N/A
Naeem Ashraf,2(1995-1995),24,24
Naeem Islam,59(2008-2014),975,27.08
Naeemuddin Aslam,2(2004-2004),12,6
Nafis Iqbal,16(2003-2005),309,19.31
Mahendra V Nagamootoo,24(2000-2002),162,13.5
John Nagenda,1(1975-1975),0,N/A
Sudhir S Naik,2(1974-1974),38,19
Naimuir Rahman,29(1995-2002),488,19.52
Karun Kaladharan Nair,2(2016-),46,23
Najaf Shah,1(2007-2007),0,0
Najeeb Amar,4(2004-2008),38,12.67
Najeeb Tarakai,1(2017-),5,5
Najibullah Zadran,51(2012-),1089,27.23
Parbhu G Nana,3(1975-1975),9,9
Dirk P Nannes,1(2009-2009),1,1
Alei Nao,12(2017-),85,42.5
Sunil Philip Narine,65(2011-),363,11
Naseer Malik,3(1975-1975),0,N/A
Brendan P Nash,9(2008-2009),104,26
Dion J Nash,81(1992-2002),624,15.6
Nasim-Ul-Ghani,1(1973-1973),1,1
Nasir Ahmed,7(1988-1990),25,12.5
Nasir Aziz,5(2014-2015),82,27.33
Nasir Hameed,1(2004-2004),0,0
Nasir Hossain,65(2011-),1281,29.11
Nasir Jamal Ahmadzai,16(2014-),352,27.08
Nasir Jamshed,48(2008-2015),1418,31.51
Nasir Javed,1(2004-2004),2,N/A
Naumanullah,1(2008-2008),5,5
Naved Anjum,13(1984-1992),113,12.56
Naved Latif,11(2001-2003),262,23.82
Naved-ul-Hasan,74(2003-2010),524,15.88
Naveen -ul-Haq,2(2016-),0,N/A
Mohamed N Nawaz,3(1998-2002),31,15.5
Nawroz Mangal,49(2009-2016),1139,27.12
Surendra V Nayak,4(1981-1982),3,3
H G Dharshana Nayanakanatha,3(2003-2003),3,3
Abhishek M Nayar,3(2009-2009),0,N/A
Mohammed Nazimuddin,11(2008-2012),147,13.36
Nazmul Hossain,38(2004-2012),35,4.38
Nazmul Hossain Shanto,3(2018-),20,6.67
Nazmul Islam,5(2018-),7,7
Njabulo Ncube,1(2011-2011),0,N/A
James Douglas Sheahan Neesham,49(2013-),1015,30.76
Neeyamur Rashid,2(1999-1999),5,5
Ashish Nehra,120(2001-2011),141,5.64
Andre Nel,79(2001-2008),127,12.7
Johann D Nel,19(2006-2010),31,15.5
Michael Gertges Neser,2(2018-),8,4
Tarun S Nethula,5(2012-2012),12,6
Christopher J Nevin,37(2000-2003),732,20.33
Richard Ngarava,9(2017-),14,2.8
Lungisani Ngidi,13(2018-),34,34
James O Ngoche,15(2010-2013),25,3.57
Shem O Ngoche,16(2010-2014),78,8.67
Henry M Nicholls,41(2015-),1029,35.48
Robert J Nicol,22(2011-2013),586,30.84
Ian A Nicolson,2(2010-2010),14,7
Ruud G Nijman,1(2009-2009),0,N/A
Ratnayake A P Nissanka,23(2001-2003),53,6.63
Paul A Nixon,19(2007-2007),297,21.21
Nizakat Khan,20(2014-),675,33.75
Mluleki L Nkala,50(1998-2006),324,10.8
Ashley A Noffke,1(2008-2008),0,N/A
Noor Ali Zadran,46(2009-),1139,25.89
Noor-ul-Haq,2(2010-2010),12,6
Marcus J North,2(2009-2009),6,3
Makhaya Ntini,173(1998-2009),199,8.65
Ashley Renaldo Nurse,45(2016-),449,19.52
Nurul Abedin,4(1986-1990),15,3.75
Nurul Hasan,2(2016-),68,34
John Nyumbu,19(2014-2015),46,4.6
Alex A Obanda,49(2007-2014),1306,30.37
George H O'Brien,9(2006-2008),38,5.43
Iain E O'Brien,10(2008-2009),3,N/A
Kevin Joseph O'Brien,130(2006-),3182,30.89
Niall John O'Brien,103(2006-),2581,28.05
Collins O Obuya,104(2001-2014),2044,25.55
David O Obuya,74(2001-2012),1355,19.36
Shayne B O'Connor,38(1997-2000),24,3.43
Nelson M Odhiambo,7(2010-2013),23,4.6
Nehemiah N Odhiambo,70(2006-2014),561,12.75
Simon P O'Donnell,87(1985-1991),1242,25.35
Thomas M Odoyo,136(1996-2014),2420,23.5
Edward O Odumbe,8(1996-1996),61,10.17
Maurice O Odumbe,61(1996-2003),1409,26.09
Naman V Ojha,1(2010-2010),1,1
Pragyan P Ojha,18(2008-2012),46,23
Kerry J O'Keeffe,2(1977-1977),16,16
Christopher Middleton Old,32(1973-1981),338,18.78
Duanne Olivier,2(2019-),0,N/A
Henry K Olonga,50(1995-2003),95,7.31
Lucas  Oluoch,2(2011-2011),6,6
Ali H Omarshah,28(1983-1996),437,16.81
Peter J Ongondo,79(1999-2011),389,8.84
Graham Onions,4(2009-2009),1,1
Justin L Ontong,28(2001-2012),184,13.14
Lamech N Onyango,29(1996-2014),144,13.09
Antony R M Opatha,5(1975-1979),29,9.67
Jacob D P Oram,160(2001-2012),2434,24.1
Henry Osinde,42(2006-2013),64,4.27
David R O'Sullivan,3(1974-1976),2,2
Elijah Otieno,26(2007-2014),49,4.9
Francis N Otieno,4(2010-2010),16,4
Kennedy O Otieno,89(1996-2009),2016,23.44
Maurice A Ouma,80(2004-2014),1501,20.85
Steven D Outerbridge,23(2006-2009),338,14.7
Craig Overton,1(2018-),0,N/A
Michael B Owens,1(1992-1992),0,0
Timothy David Paine,35(2009-),890,27.81
Steven J Palframan,7(1996-1996),55,13.75
Mangesh Panchel,1(2007-2007),0,N/A
Gyanendrakumar K Pandey,2(1999-1999),4,4
Manish Krishnanand Pandey,23(2015-),440,36.67
Chandrakant S Pandit,36(1986-1992),290,20.71
Hardik H Pandya,45(2016-),731,29.24
Mudhsuden S Panesar,26(2007-2007),26,5.2
Pankaj Singh,1(2010-2010),3,N/A
Rishabh Rajendra Pant,3(2018-),41,20.5
Tinashe Panyangara,65(2004-),239,6.64
Michael H W Papps,6(2004-2005),207,51.75
Jatin V Paranjpe,4(1998-1998),54,18
Brenton A Parchment,7(2007-2008),122,17.43
Joel S Paris,2(2016-2016),0,N/A
Ghulam A Parkar,10(1982-1984),165,18.33
John M Parker,24(1974-1981),248,12.4
Matthew A Parker,10(2010-2010),59,9.83
Norman M Parker,1(1976-1976),0,0
Wayne Dillon Parnell,65(2009-),508,21.17
Adam C Parore,179(1992-2002),3314,25.69
Derek R Parry,6(1978-1980),61,15.25
Stephen D Parry,2(2014-2014),0,N/A
Parvez Ghulam Rasool Zargar,1(2014-2014),0,N/A
Nelon T Pascal,1(2009-2009),0,0
Leonard S Pascoe,29(1977-1982),39,9.75
Sudath P Pasqual,2(1979-1979),24,24
Ashish Patel,2(2003-2003),25,25
Ashok K Patel,8(1984-1985),6,3
Axar Rajeshbhai Patel,38(2014-),181,12.93
Brijal J Patel,31(2001-2006),360,16.36
Brijesh P Patel,10(1974-1979),243,30.38
Dipak N Patel,75(1987-1997),623,11.75
Hiral Patel,23(2009-2013),468,21.27
Jitendra M Patel,3(1979-1979),3,1
Jeetan S Patel,43(2005-),95,13.57
Kalpesh A  Patel,2(2006-2006),1,1
Malhar L Patel,3(2004-2006),40,13.33
Munaf M Patel,70(2006-2011),74,6.73
Pathiv A Patel,38(2003-2012),736,23.74
Rashid G M Patel,1(1988-1988),0,N/A
Rakeep R Patel,39(2008-2014),621,20.03
Samit R Patel,36(2008-2013),482,32.13
Dane Paterson,4(2017-),0,N/A
Grant A Paterson,10(1983-1987),123,12.3
Irfan K Pathan,120(2004-2012),1544,23.39
Rayyankhan Pathan,1(2013-2013),2,2
Yusuf K Pathan,57(2008-2012),810,27
Sachith Shanaka Pathirana,18(2015-),332,25.54
Sandeep M Patil,45(1980-1986),1005,24.51
Swapnil P Patil,13(2014-2015),263,26.3
Jason Patraj,2(2007-2007),21,10.5
Bruce M W Patterson,3(1999-1999),10,3.33
Balfour P Patterson,59(1986-1993),44,8.8
James L Pattinson,15(2011-2015),42,10.5
Rohit Kumar Paudel,4(2018-),86,21.5
Keemo Mandela Angus Paul,11(2018-),115,16.43
Thelston R O Payne,7(1984-1987),126,31.5
Stephen G Peall,21(1992-1996),91,6.5
Gerald E Peckover,3(1983-1983),33,16.5
Andrew J Penn,5(1997-2001),23,11.5
Angelo Kanishka Perera,4(2013-),8,4
Kahawalage G Perera,1(1986-1986),0,N/A
Mahawaduge Dilruwan Kamalaneth Perera,13(2007-),152,12.67
Mathurage Don Kusal Janith Perera,85(2013-),2242,29.5
Narangoda Liyanaarachchilage Thisara Chirantha Perera,148(2009-),2091,21.12
Panagodage D R L Perera,19(1999-2007),8,1.6
Suresh A Perera,20(1998-2001),195,17.73
Veerasammy Permaul,7(2012-),19,6.33
Nehemiah O Perry,21(1999-2000),212,26.5
Pervez Mir,3(1975-1977),26,13
Alviro N Petersen,21(2006-2013),504,28
Robin J Peterson,79(2002-2014),556,20.59
Mark J Petrie,4(2009-2009),3,1.5
Richard G Petrie,12(1990-1991),65,13
Aaron M Phangiso,21(2013-),81,7.36
Andile Lucky Phehlukwayo,39(2016-),376,31.33
Vernon D Philander,30(2007-2015),151,12.58
Iain L Philip,3(1999-1999),20,6.67
Norbert Phillip,1(1978-1978),0,0
Wayne B Phillips,48(1982-1986),852,24.34
Hemal S M Pieris,3(1975-1975),19,9.5
Kevin P Pietersen,136(2004-2013),4440,40.73
Arthur D J Pitcher,3(2007-2007),20,6.67
Azeem R Pitcher,4(2006-2007),36,9
Oliver L Pitcher,5(2007-2007),72,14.4
Liam Edward Plunkett,78(2005-),584,19.47
Patrick I Pocock,1(1985-1985),4,4
Nosaina Pokana,5(2017-),9,2.25
Keiron A Pollard,101(2007-),2289,25.72
Victor Pollard,3(1973-1974),67,33.5
Shaun M Pollock,303(1996-2008),3519,26.46
Ricky Thomas Ponting,375(1995-2012),13704,42.04
Riaz H Poonawala,2(1994-1994),44,22
Navdeep S Poonia,21(2006-2009),237,11.29
Nicholas Pooran,1(2019-2019),0,0
Graeme D Porter,2(1979-1979),3,3
William Thomas Stuart Porterfield,124(2006-),3723,31.55
Nic Pothas,3(2000-2000),24,24
Ramesh R Powar,31(2004-2007),163,11.64
Daren B Powell,55(2002-2009),118,5.36
Kieran Omar Akeem Powell,46(2009-),958,21.77
Rovman Powell,34(2016-),670,23.93
Ricardo L Powell,109(1999-2005),2085,24.82
Andrew D Poynter,19(2008-2014),255,19.62
Stuart W Poynter,18(2014-),177,14.75
Manoj M Prabhakar,130(1984-1996),1858,24.13
Aththachchi Nuwan Pradeep Roshan Fernando,34(2012-),27,5.4
Bapu Krishnarao Venkatesh Prasad,161(1994-2001),221,6.91
Kariyawasam Tirana Gamage Dhammika Prasad,24(2006-2015),129,21.5
Mannava S K Prasad,17(1998-1999),131,14.56
Seekkuge Prasanna,40(2011-),421,12.38
Dwaine Pretorius,16(2016-),101,16.83
Raymond William Price,102(2002-2012),406,9.67
Mark W Priest,18(1990-1998),103,10.3
Ashwell Gavin Prince,52(2002-2007),1018,35.1
Christopher Pringle,64(1990-1995),193,8.77
Donald J Pringle,2(1975-1975),5,2.5
Derek Raymond Pringle,44(1982-1993),425,23.61
Meyrick W Pringle,17(1992-1994),48,9.6
Matthew J Prior,68(2004-2011),1282,24.19
Subasinghe Mudiyanselage Ashan Priyanjan,23(2013-2015),420,23.33
Cheteshwar Arvind Pujara,5(2013-2014),51,10.2
Yodhin Punja,1(2015-2015),1,1
Karuppiahyage Ravindra Pushpakumara,31(1994-1999),36,9
Muthumudalige Pushpakumara,3(2009-2010),7,N/A
Pawuluge Malinda Pushpakumara,2(2017-),11,5.5
Andrew G Puttick,1(2005-2005),0,0
Andrew J Pycroft,20(1983-1992),295,17.35
Milton R Pydanna,3(1980-1983),2,N/A
Qadeer Ahmed,8(2015-),6,3
Qaiser Ali,17(2006-2008),244,15.25
Qasim Omar,31(1983-1987),642,22.93
Kagiso Rabada,62(2015-),198,15.23
Carl Grau Rackemann,52(1983-1991),34,2.83
Neal V Radford,6(1988-1988),0,0
Clive T Radley,4(1978-1978),250,83.33
Raees Ahmadzai,5(2009-2010),88,29.33
Rafiqul Alam,2(1986-1986),24,12
Rafiqul Islam,1(2002-2002),0,0
Ajinkya M Rahane,90(2011-),2962,35.26
Rahat Ali,14(2012-2016),8,2.67
Rahmat Shah,55(2013-),1789,36.51
Pipi Raho,1(2014-2014),0,N/A
Kannaur Lokesh Rahul,13(2016-),317,35.22
Suresh Kumar Raina,226(2005-),5615,35.31
Edward C Rainsford,39(2004-2010),55,5.5
Lallit Narayan Rajbanshi,3(2019-2019),5,N/A
Rajin Saleh,43(2003-2006),1005,23.93
Chandrasekara Arachchilage Kasun Rajitha,3(2018-),0,N/A
Lalchand S Rajput,4(1985-1987),9,3
Sagi Lakshmi Venkatapathy Raju,53(1990-1996),32,4
Woorkeri V Raman,27(1988-1996),617,23.73
Champaka P H Ramanayake,62(1986-1995),210,10
Ryan Ramdass,1(2005-2005),1,1
Denesh Ramdin,139(2005-),2200,25
Rameez Shahzad,15(2016-),691,53.15
Sadagopan Ramesh,24(1999-1999),646,28.09
Ramiz Raja,198(1985-1997),5841,32.09
Dinanath Ramnarine,4(1997-2001),5,1.67
Ravindranath Rampaul,92(2003-2015),362,12.48
Mark R Ramprakash,18(1991-2001),376,26.86
Darren R Ramsammy,1(2012-2012),0,0
Ramveer Rai,1(2004-2004),39,39
